Category,Title,Price,Link
Refrigerators,"Crompton Eris 1000 Watts Dry Iron (6 Fabric Settings, Yellow & Black)",₹529,https://www.croma.com/crompton-eris-1000-watts-dry-iron-6-fabric-settings-yellow-black-/p/311028
Refrigerators,"DAIKIN Premium Series 1.5 Ton 3 Star Inverter Split Smart AC with Dew Clean Technology (Copper Condenser, ATKL50UV16V/U/V3)","₹35,490",https://www.croma.com/daikin-premium-series-1-5-ton-3-star-inverter-split-smart-ac-with-dew-clean-technology-copper-condenser-atkl50uv16v-u-v3-/p/257366
Refrigerators,"V-GUARD 4 Amps Voltage Stabilizer For 600 Litres Refrigerator + 1 Deep Freezer (135 - 280 V, Fail Safe Circuit Protection, VG 100, Grey)","₹2,349",https://www.croma.com/v-guard-4-amps-voltage-stabilizer-for-600-litres-refrigerator-+-1-deep-freezer-135-280-v-fail-safe-circuit-protection-vg-100-grey-/p/268685
Refrigerators,"Crompton Surebreeze Hill Briz 1 Star 1200mm 3 Blade Copper Motor Ceiling Fan (Inverter Compatibility, Brown)","₹1,499",https://www.croma.com/crompton-surebreeze-hill-briz-1-star-1200mm-3-blade-copper-motor-ceiling-fan-inverter-compatibility-brown-/p/302481
Refrigerators,"Croma 7 kg 5 Star Inverter Fully Automatic Front Load Washing Machine (2025 Model, Built in heater, Silver Grey)","₹23,990",https://www.croma.com/croma-7-kg-5-star-inverter-fully-automatic-front-load-washing-machine-2025-model-built-in-heater-silver-grey-/p/309537
Refrigerators,"Morphy Richards Super Glide 2000 Watts 350ml Steam Iron (Steam Burst, Blue)","₹2,449",https://www.croma.com/morphy-richards-super-glide-2000-watts-350ml-steam-iron-steam-burst-blue-/p/187882
Refrigerators,"VOLTAS 183V Vectra Platina 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Anti Microbial Air FIlteration (Copper Condenser, 4503448)","₹30,990",https://www.croma.com/voltas-183v-vectra-platina-4-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-anti-microbial-air-filteration-copper-condenser-4503448-/p/268029
Refrigerators,"Croma 7 in 1 Convertible 0.8 Ton 3 Star Inverter Split AC with Temperature Sensor (2025 Model, Copper Condenser, CRLA009IND283263)","₹23,990",https://www.croma.com/croma-7-in-1-convertible-0-8-ton-3-star-inverter-split-ac-with-temperature-sensor-2025-model-copper-condenser-crla009ind283263-/p/312023
Refrigerators,"LG 90 Litres 1 Star Direct Cool Single Door Refrigerator with Antibacterial Gasket (GL-M131RDSB, Dazzle Steel)","₹12,090",https://www.croma.com/lg-90-litres-1-star-direct-cool-single-door-refrigerator-with-antibacterial-gasket-gl-m131rdsb-dazzle-steel-/p/311608
Refrigerators,Croma 24 Wheel Trolley Stand for Washing Machine and Refrigerator ( Black),"₹1,349",https://www.croma.com/croma-24-wheel-trolley-stand-for-washing-machine-and-refrigerator-black-/p/258604
